country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",11-03-2026 15:00,28.699793,77.165453,NO2,81,182,132
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",11-03-2026 15:00,28.699793,77.165453,NH3,6,16,14
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",11-03-2026 15:00,28.699793,77.165453,CO,34,134,62
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",11-03-2026 15:00,23.107969,72.574648,PM10,73,238,126
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM",11-03-2026 15:00,23.107969,72.574648,CO,4,70,23
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",11-03-2026 15:00,22.977134,72.553024,PM2.5,53,296,126
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",11-03-2026 15:00,22.977134,72.553024,NO2,34,178,85
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",11-03-2026 15:00,22.977134,72.553024,SO2,53,128,103
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",11-03-2026 15:00,23.59315,72.372792,CO,28,76,43
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",11-03-2026 15:00,23.59315,72.372792,OZONE,9,20,13
India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",11-03-2026 15:00,22.410802,73.097923,PM2.5,NA,NA,NA
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",11-03-2026 15:00,21.217779,72.834787,CO,34,60,50
India,Gujarat,Surat,"Katargam, Surat - Nexteng Enviro",11-03-2026 15:00,21.217779,72.834787,OZONE,7,9,9
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",11-03-2026 15:00,22.320153,73.216285,OZONE,3,11,7
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",11-03-2026 15:00,22.969611,72.6435,PM10,57,271,126
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",11-03-2026 15:00,30.379589,76.778328,PM2.5,109,207,147
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",11-03-2026 15:00,30.379589,76.778328,SO2,12,12,12
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",11-03-2026 15:00,28.6701,76.9254,PM2.5,70,337,241
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",11-03-2026 15:00,28.3419248,77.319699,SO2,2,6,4
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",11-03-2026 15:00,23.002657,72.591912,PM2.5,44,443,118
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",11-03-2026 15:00,23.002657,72.591912,NO2,83,93,89
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM",11-03-2026 15:00,23.020509,72.579261,CO,1,84,12
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",11-03-2026 15:00,23.016834,72.625775,NH3,9,34,17
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",11-03-2026 15:00,23.023389,72.515201,NO2,2,41,14
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",11-03-2026 15:00,21.613267,73.010555,PM2.5,68,231,156
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",11-03-2026 15:00,29.14056,75.744941,OZONE,15,140,69
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",11-03-2026 15:00,29.966942,76.875879,PM10,140,224,176
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",11-03-2026 15:00,30.943887,76.801991,PM10,87,256,162
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",11-03-2026 15:00,30.943887,76.801991,NH3,4,8,6
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",11-03-2026 15:00,30.943887,76.801991,SO2,18,106,38
India,Himachal Pradesh,Baddi,"HIMUDA Complex Phase-1, Baddi - HPPCB",11-03-2026 15:00,30.943887,76.801991,CO,43,102,52
